,solar,onshore,offshore
2020-01-01 00:00:00,0.0,0.11360559566787004,0.0708955223880597
2020-01-01 01:00:00,0.0,0.10960063176895307,0.15471748400852878
2020-01-01 02:00:00,0.0,0.10741952466907341,0.22121535181236673
2020-01-01 03:00:00,0.0,0.10136507220216606,0.27425373134328357
2020-01-01 04:00:00,0.0,0.10168471720818291,0.3054371002132196
2020-01-01 05:00:00,0.0,0.10427948255114321,0.2878464818763326
2020-01-01 06:00:00,0.0,0.10300090252707582,0.2587953091684435
2020-01-01 07:00:00,0.0,0.09728489771359808,0.2867803837953092
2020-01-01 08:00:00,0.007799858938721321,0.0936183814681107,0.3037046908315565
2020-01-01 09:00:00,0.06449404638426752,0.09344915764139591,0.31130063965884863
2020-01-01 10:00:00,0.14045969381404805,0.08878610108303249,0.3384861407249467
2020-01-01 11:00:00,0.2014272082313405,0.08325812274368231,0.3656716417910448
2020-01-01 12:00:00,0.22955648674438867,0.073198706377858,0.44696162046908317
2020-01-01 13:00:00,0.21111479898767788,0.078125,0.48187633262260127
2020-01-01 14:00:00,0.14574949176451063,0.07539861612515042,0.4428304904051173
2020-01-01 15:00:00,0.05260755922499274,0.07908393501805054,0.39552238805970147
2020-01-01 16:00:00,0.0025515495996349,0.10081979542719614,0.39685501066098083
2020-01-01 17:00:00,0.0,0.12469915764139591,0.4989339019189765
2020-01-01 18:00:00,0.0,0.1473375451263538,0.5923507462686567
2020-01-01 19:00:00,0.0,0.16420351985559567,0.6265991471215352
2020-01-01 20:00:00,0.0,0.1782867027677497,0.5864872068230277
2020-01-01 21:00:00,0.0,0.18785725030084235,0.5353144989339019
2020-01-01 22:00:00,0.0,0.16794524669073405,0.5014658848614072
2020-01-01 23:00:00,0.0,0.15843110709987968,0.5087953091684435
2020-01-02 00:00:00,0.0,0.15015794223826714,0.5621002132196162
2020-01-02 01:00:00,0.0,0.13530385078219012,0.6142057569296375
2020-01-02 02:00:00,0.0,0.12693667268351383,0.6673773987206824
2020-01-02 03:00:00,0.0,0.11700887484957882,0.6922974413646056
2020-01-02 04:00:00,0.0,0.11772337545126353,0.7041577825159915
2020-01-02 05:00:00,0.0,0.13011432009626955,0.6856343283582089
2020-01-02 06:00:00,0.0,0.1484280986762936,0.7173507462686567
2020-01-02 07:00:00,0.0,0.16520006016847172,0.7185501066098081
2020-01-02 08:00:00,0.008920051445878107,0.16638462695547532,0.7285447761194029
2020-01-02 09:00:00,0.06519935277766253,0.16739996991576414,0.7877132196162047
2020-01-02 10:00:00,0.12718333817367133,0.16288733453670276,0.8085021321961621
2020-01-02 11:00:00,0.16958469900012446,0.14557009626955475,0.8564765458422174
2020-01-02 12:00:00,0.1786499605858192,0.13165613718411553,0.8538113006396588
2020-01-02 13:00:00,0.15014728457038543,0.13285950661853188,0.8510127931769723
2020-01-02 14:00:00,0.0947807326888769,0.14726233453670276,0.8642057569296375
2020-01-02 15:00:00,0.029104260880388335,0.17358604091456076,0.8595415778251599
2020-01-02 16:00:00,0.0010994482014686968,0.2022224729241877,0.8663379530916845
2020-01-02 17:00:00,0.0,0.24279858604091456,0.8781982942430704
2020-01-02 18:00:00,0.0,0.2794449458483754,0.8953891257995735
2020-01-02 19:00:00,0.0,0.3030046630565584,0.9056503198294243
2020-01-02 20:00:00,0.0,0.3160537003610108,0.9145788912579957
2020-01-02 21:00:00,0.0,0.3281626052948255,0.9196428571428571
2020-01-02 22:00:00,0.0,0.33077617328519854,0.8951226012793176
2020-01-02 23:00:00,0.0,0.3348751504211793,0.8997867803837953
2020-01-03 00:00:00,0.0,0.35696826113116725,0.8963219616204691
2020-01-03 01:00:00,0.0,0.3823330324909747,0.8991204690831557
2020-01-03 02:00:00,0.0,0.39716832129963897,0.8913912579957356
2020-01-03 03:00:00,0.0,0.41527527075812276,0.8836620469083155
2020-01-03 04:00:00,0.0,0.4364094464500602,0.8819296375266524
2020-01-03 05:00:00,0.0,0.4551180806257521,0.8807302771855011
2020-01-03 06:00:00,0.0,0.4854655535499398,0.8840618336886994
2020-01-03 07:00:00,0.0,0.500770908543923,0.877132196162047
2020-01-03 08:00:00,0.005310542256150686,0.5064493080625753,0.8556769722814499
2020-01-03 09:00:00,0.03514085383562212,0.5038545427196149,0.7963752665245203
2020-01-03 10:00:00,0.06495042110940547,0.5159822503008423,0.7282782515991472
2020-01-03 11:00:00,0.0825830809442808,0.5278091155234657,0.6517857142857143
2020-01-03 12:00:00,0.08426336970501597,0.5223187424789411,0.5074626865671642
2020-01-03 13:00:00,0.059453180102061985,0.5159446450060169,0.6011460554371002
2020-01-03 14:00:00,0.0340828942455296,0.508780836341757,0.7180170575692963
2020-01-03 15:00:00,0.01246732771854126,0.5199684115523465,0.6441897654584222
2020-01-03 16:00:00,0.0006638177820188358,0.5235033092659447,0.7975746268656716
2020-01-03 17:00:00,0.0,0.5348789109506619,0.8252931769722814
2020-01-03 18:00:00,0.0,0.5627632370637786,0.7953091684434968
2020-01-03 19:00:00,0.0,0.5572916666666666,0.7865138592750534
2020-01-03 20:00:00,0.0,0.5419299037304453,0.7697228144989339
2020-01-03 21:00:00,0.0,0.5214162154031288,0.7819829424307037
2020-01-03 22:00:00,0.0,0.508310770156438,0.787180170575693
2020-01-03 23:00:00,0.0,0.500921329723225,0.7677238805970149
2020-01-04 00:00:00,0.0,0.4958258122743682,0.7104211087420043
2020-01-04 01:00:00,0.0,0.4802572202166065,0.6648454157782516
2020-01-04 02:00:00,0.0,0.4584837545126354,0.6491204690831557
2020-01-04 03:00:00,0.0,0.45681031889290014,0.62886460554371
