Hour,Temperature,Energy_production_DC_35,Energy_production_AC_35,Rad_onto_module_area_35,Energy_production_DC_45,Energy_production_AC_45,Rad_onto_module_area_45
0,9,0,0,0,0,0,0
1,10,0,0,0,0,0,0
2,9.8,0,0,0,0,0,0
3,9.7,0,0,0,0,0,0
4,9.6,0,0,0,0,0,0
5,9.5,0,0,0,0,0,0
6,9.3,0,0,0,0,0,0
7,9.2,0,0,0,0,0,0
8,9.2,1,0.2,10,1,0.2,10
9,9.2,31,26,221,30,25,213
10,9.2,74,67,490,71,64,472
11,9.2,111,103,717,107,99,691
12,9.2,133,124,846,128,119,815
13,9.2,110,101,709,106,97,682
14,9.2,68,61,453,65,58,436
15,9.1,23,18,167,22,17,161
16,8.9,0,0,0,0,0,0
17,8.6,0,0,0,0,0,0
18,8.1,0,0,0,0,0,0
19,8.5,0,0,0,0,0,0
20,8.1,0,0,0,0,0,0
21,8.1,0,0,0,0,0,0
22,8.1,0,0,0,0,0,0
23,8.1,0,0,0,0,0,0
24,7.9,0,0,0,0,0,0
25,7.5,0,0,0,0,0,0
26,7.4,0,0,0,0,0,0
27,7.3,0,0,0,0,0,0
28,7.1,0,0,0,0,0,0
29,7,0,0,0,0,0,0
30,6.9,0,0,0,0,0,0
31,6.8,0,0,0,0,0,0
32,6.8,1,0.2,12,1,0.2,11
33,7.1,94,86,609,90,83,587
34,7.6,260,245,"1,563",249,235,"1,505"
35,8,368,349,"2,168",354,336,"2,089"
36,8.3,430,409,"2,507",413,393,"2,416"
37,8.4,338,320,"2,003",325,307,"1,929"
38,8.3,175,164,"1,084",168,157,"1,044"
39,8,55,49,375,53,47,362
40,7.8,0,0,0,0,0,0
41,7.5,0,0,0,0,0,0
42,7.3,0,0,0,0,0,0
43,7,0,0,0,0,0,0
44,6.8,0,0,0,0,0,0
45,6.5,0,0,0,0,0,0
46,6.3,0,0,0,0,0,0
47,6,0,0,0,0,0,0
48,5.8,0,0,0,0,0,0
49,5.6,0,0,0,0,0,0
50,5.4,0,0,0,0,0,0
51,5.4,0,0,0,0,0,0
52,5.3,0,0,0,0,0,0
53,5.3,0,0,0,0,0,0
54,5.3,0,0,0,0,0,0
55,5.3,0,0,0,0,0,0
56,5.4,1,0.2,11,1,0.2,11
57,6.8,"2,150","2,065","11,487","2,536","2,437","13,481"
58,8.4,"3,554","3,421","18,883","4,085","3,935","21,694"
59,10,"4,594","4,428","24,550","5,213","5,029","27,925"
60,11.1,"4,885","4,710","26,232","5,522","5,329","29,741"
61,10.4,"4,243","4,088","22,695","4,815","4,643","25,794"
62,11.4,"2,191","2,104","11,874","2,507","2,409","13,536"
63,10.6,"1,134","1,085","6,297","1,346","1,290","7,417"
64,9.7,0,0,0,0,0,0
65,9.4,0,0,0,0,0,0
66,9,0,0,0,0,0,0
67,8.7,0,0,0,0,0,0
68,8.3,0,0,0,0,0,0
69,8,0,0,0,0,0,0
70,7.7,0,0,0,0,0,0
71,7.3,0,0,0,0,0,0
72,6.6,0,0,0,0,0,0
73,5.9,0,0,0,0,0,0
74,5,0,0,0,0,0,0
75,4.5,0,0,0,0,0,0
76,4.1,0,0,0,0,0,0
77,3.6,0,0,0,0,0,0
78,3.3,0,0,0,0,0,0
79,2.9,0,0,0,0,0,0
80,2.8,1,0.2,11,1,0.2,10
81,3.7,983,941,"5,382","1,128","1,080","6,131"
82,4,444,422,"2,548",440,418,"2,528"
83,4.2,410,389,"2,368",393,373,"2,279"
84,5,"2,305","2,214","12,208","2,536","2,437","13,395"
85,4.9,457,435,"2,630",439,418,"2,532"
86,5.1,"2,271","2,182","12,046","2,568","2,468","13,574"
87,4.9,"2,357","2,265","12,478","2,813","2,705","14,825"
88,4.3,0,0,0,0,0,0
89,3.9,0,0,0,0,0,0
90,3.5,0,0,0,0,0,0
91,3.1,0,0,0,0,0,0
92,2.7,0,0,0,0,0,0
93,2.3,0,0,0,0,0,0
94,2,0,0,0,0,0,0
95,1.6,0,0,0,0,0,0
