Hour,Temperature,Energy_production_DC_35,Energy_production_AC_35,Rad_onto_module_area_35,Energy_production_DC_45,Energy_production_AC_45,Rad_onto_module_area_45
0,9.5,0,0,0,0,0,0
1,9.2,0,0,0,0,0,0
2,8.9,0,0,0,0,0,0
3,8.7,0,0,0,0,0,0
4,8.6,0,0,0,0,0,0
5,8.4,0,0,0,0,0,0
6,8.3,0,0,0,0,0,0
7,8.2,0,0,0,0,0,0
8,8.4,22,3,125,21,3,120
9,9.8,"1,128","1,023","5,216","1,232","1,127","5,671"
10,11.2,"1,956","1,858","8,846","2,097","2,000","9,451"
11,12.5,"2,751","2,661","12,289","2,940","2,851","13,095"
12,13.3,"2,783","2,694","12,453","2,950","2,862","13,167"
13,13.8,"2,656","2,565","11,919","2,830","2,741","12,667"
14,13.7,"1,428","1,325","6,592","1,494","1,392","6,882"
15,13.1,501,399,"2,428",501,399,"2,428"
16,12.2,11,1,65,10,1,62
17,11.8,0,0,0,0,0,0
18,11.5,0,0,0,0,0,0
19,11.1,0,0,0,0,0,0
20,10.7,0,0,0,0,0,0
21,10.4,0,0,0,0,0,0
22,10,0,0,0,0,0,0
23,9.7,0,0,0,0,0,0
24,9.2,0,0,0,0,0,0
25,8.5,0,0,0,0,0,0
26,8.2,0,0,0,0,0,0
27,8,0,0,0,0,0,0
28,7.8,0,0,0,0,0,0
29,7.5,0,0,0,0,0,0
30,7.3,0,0,0,0,0,0
31,7.1,0,0,0,0,0,0
32,7.1,11,1,64,10,1,62
33,7.6,221,137,"1,102",212,129,"1,056"
34,8,457,356,"2,198",437,337,"2,108"
35,8.4,607,503,"2,883",581,477,"2,765"
36,8.5,572,468,"2,723",547,444,"2,611"
37,8.7,618,513,"2,933",592,487,"2,813"
38,8.7,462,361,"2,223",442,342,"2,131"
39,8.5,245,158,"1,215",234,149,"1,165"
40,8.1,14,1,83,14,1,79
41,7.8,0,0,0,0,0,0
42,7.4,0,0,0,0,0,0
43,7,0,0,0,0,0,0
44,6.7,0,0,0,0,0,0
45,6.3,0,0,0,0,0,0
46,6,0,0,0,0,0,0
47,5.7,0,0,0,0,0,0
48,5.5,0,0,0,0,0,0
49,5.3,0,0,0,0,0,0
50,5.2,0,0,0,0,0,0
51,5.1,0,0,0,0,0,0
52,5.1,0,0,0,0,0,0
53,5.1,0,0,0,0,0,0
54,5.1,0,0,0,0,0,0
55,5,0,0,0,0,0,0
56,5.4,42,10,226,40,9,216
57,7.6,"2,297","2,202","10,230","2,620","2,529","11,601"
58,9.8,"3,470","3,385","15,256","3,861","3,778","16,898"
59,12.2,"5,726","5,645","24,825","6,359","6,275","27,468"
60,13.5,"4,571","4,490","20,046","5,004","4,925","21,872"
61,13.5,"2,069","1,973","9,388","2,183","2,088","9,880"
62,13.5,"2,525","2,433","11,354","2,752","2,662","12,328"
63,12.9,"2,146","2,050","9,704","2,432","2,339","10,939"
64,11.5,38,8,209,36,7,200
65,10.7,0,0,0,0,0,0
66,9.9,0,0,0,0,0,0
67,9.1,0,0,0,0,0,0
68,8.3,0,0,0,0,0,0
69,7.5,0,0,0,0,0,0
70,6.7,0,0,0,0,0,0
71,5.9,0,0,0,0,0,0
72,4.9,0,0,0,0,0,0
73,3.7,0,0,0,0,0,0
74,2.6,0,0,0,0,0,0
75,2,0,0,0,0,0,0
76,1.3,0,0,0,0,0,0
77,0.7,0,0,0,0,0,0
78,0.3,0,0,0,0,0,0
79,-0.2,0,0,0,0,0,0
80,-0.2,24,3,130,23,3,125
81,1.8,"3,295","3,209","14,250","3,794","3,711","16,310"
82,3.9,"5,478","5,398","23,316","6,182","6,099","26,195"
83,5.5,"6,463","6,378","27,447","7,216","7,124","30,529"
84,6.6,"6,935","6,847","29,450","7,721","7,624","32,670"
85,7.2,"6,428","6,343","27,417","7,172","7,081","30,476"
86,7.2,"5,402","5,322","23,193","6,087","6,005","26,020"
87,6.4,"3,498","3,413","15,252","4,017","3,935","17,416"
88,4.8,42,10,225,40,9,215
89,4.3,0,0,0,0,0,0
90,3.8,0,0,0,0,0,0
91,3.3,0,0,0,0,0,0
92,2.8,0,0,0,0,0,0
93,2.3,0,0,0,0,0,0
94,1.8,0,0,0,0,0,0
95,1.3,0,0,0,0,0,0
96,1.2,0,0,0,0,0,0
97,1.1,0,0,0,0,0,0
98,1.1,0,0,0,0,0,0
99,1.1,0,0,0,0,0,0
100,1,0,0,0,0,0,0
101,1,0,0,0,0,0,0
102,1,0,0,0,0,0,0
103,1,0,0,0,0,0,0
104,1.1,9,1,53,9,1,51
105,1.7,241,155,"1,179",231,146,"1,131"
106,2.4,435,335,"2,071",416,317,"1,986"
107,3,559,455,"2,630",535,431,"2,522"
108,3.3,587,482,"2,758",561,458,"2,645"
109,3.6,604,499,"2,836",578,474,"2,720"
110,3.6,359,263,"1,730",344,248,"1,659"
111,3.3,201,120,998,193,113,957
112,2.6,16,2,88,15,1,85
113,2.7,0,0,0,0,0,0
114,2.4,0,0,0,0,0,0
115,2.2,0,0,0,0,0,0
116,1.9,0,0,0,0,0,0
117,1.7,0,0,0,0,0,0
118,1.4,0,0,0,0,0,0
119,1.1,0,0,0,0,0,0
120,0.6,0,0,0,0,0,0
121,0.1,0,0,0,0,0,0
122,-0.5,0,0,0,0,0,0
123,-0.8,0,0,0,0,0,0
124,-1.1,0,0,0,0,0,0
125,-1.4,0,0,0,0,0,0
126,-1.6,0,0,0,0,0,0
127,-1.8,0,0,0,0,0,0
128,-1.7,15,1,82,14,1,79
129,-0.04,"1,853","1,754","8,186","2,089","1,993","9,179"
130,1.7,"3,432","3,348","14,809","3,816","3,733","16,390"
131,3.3,"5,048","4,968","21,510","5,601","5,520","23,768"
132,4.4,"4,895","4,815","20,927","5,388","5,307","22,947"
133,4.9,"4,211","4,130","18,134","4,630","4,549","19,858"
134,4.8,"2,643","2,552","11,611","2,876","2,787","12,588"
135,4,922,816,"4,247",985,879,"4,521"
136,2.8,15,1,83,14,1,80
137,2.4,0,0,0,0,0,0
138,2.1,0,0,0,0,0,0
139,1.7,0,0,0,0,0,0
140,1.4,0,0,0,0,0,0
141,1,0,0,0,0,0,0
142,0.7,0,0,0,0,0,0
143,0.3,0,0,0,0,0,0
144,0.1,0,0,0,0,0,0
145,-0.1,0,0,0,0,0,0
146,-0.4,0,0,0,0,0,0
147,-0.5,0,0,0,0,0,0
148,-0.6,0,0,0,0,0,0
149,-0.7,0,0,0,0,0,0
150,-0.8,0,0,0,0,0,0
151,-0.8,0,0,0,0,0,0
152,-0.7,11,1,64,11,1,61
153,0.6,584,479,"2,727",597,493,"2,787"
154,1.8,"1,067",961,"4,857","1,071",966,"4,876"
155,3.1,"1,864","1,766","8,295","1,930","1,831","8,571"
156,3.9,"1,845","1,746","8,227","1,894","1,796","8,438"
157,4.5,"2,320","2,226","10,253","2,443","2,350","10,771"
158,4.7,"1,781","1,681","7,968","1,882","1,784","8,402"
159,4.4,"1,182","1,077","5,385","1,272","1,168","5,777"
160,3.4,48,13,259,46,12,248
161,3.1,0,0,0,0,0,0
162,2.8,0,0,0,0,0,0
163,2.5,0,0,0,0,0,0
164,2.2,0,0,0,0,0,0
165,1.9,0,0,0,0,0,0
166,1.5,0,0,0,0,0,0
167,1.2,0,0,0,0,0,0
168,0.7,0,0,0,0,0,0
169,0.6,0,0,0,0,0,0
170,0.2,0,0,0,0,0,0
171,0.04,0,0,0,0,0,0
172,-0.2,0,0,0,0,0,0
173,-0.3,0,0,0,0,0,0
